GIS_ID,FACILITY,NAME,TYPE,SHAPE_Area,FEAT_ID,OBJECTID,GLOBALID,SHAPE_Length
92600,9260,PAGE PONDS,PERCOLATION POND,36079.4481858383,131,105,{7AE5837D-E5F3-492C-8E9B-ACEC149BD696},800.347683686473
92600,9260,PAGE PONDS,PERCOLATION POND,34726.9138497622,132,106,{A72729E2-90CB-4539-ABE9-79423A3C43CE},720.941856542516
92600,9260,PAGE PONDS,PERCOLATION POND,19959.6404481424,133,107,{BAFBE298-FDF8-4DE1-A74D-B85FBF22FD18},564.068426044282
92600,9260,PAGE PONDS,PERCOLATION POND,18254.3191330934,134,108,{174F9832-E581-43C8-8EB9-0C85BF91DE7F},584.972895980027
92600,9260,PAGE PONDS,PERCOLATION POND,31643.7759066607,135,109,{1CA6F582-B705-4AC1-BA52-E6EE6D4D3AFB},675.181894275685
92600,9260,PAGE PONDS,PERCOLATION POND,52590.2673069147,136,110,{331F7B1E-0CF1-4D3C-A282-8995B62AF747},872.985201335218
92600,9260,PAGE PONDS,PERCOLATION POND,45681.4611921633,137,111,{410513F3-3CF8-46F9-9C58-EDE9778FC7F5},1073.03083846843
92540,9254,OKA PONDS,PERCOLATION POND,52363.5843776149,138,112,{D0234ACA-BC85-415C-8115-DE572EFC9811},1296.45753265109
92540,9254,OKA PONDS,PERCOLATION POND,167770.006521951,139,113,{F79D9526-B853-41B4-A77F-95EA877CEB27},2461.51116284404
92531,9253,KIRK DITCH DESILTING BASIN,PERCOLATION POND,84195.36332422,140,114,{5F9C6D7F-334A-4559-ADE0-E4F04AAD9C2E},2405.23388800976
92540,9254,OKA PONDS,PERCOLATION POND,171161.529781893,141,115,{A1E86392-3D72-4745-ABCC-54B20ADAE0F2},2414.75838285082
92430,9243,CAMDEN PONDS,PERCOLATION POND,950820.557540204,142,116,{92000D0E-098A-436A-A562-AC57871AA146},4157.79492521522
92430,9243,CAMDEN PONDS,PERCOLATION POND,302824.98245376,143,117,{2D20793D-7204-44D6-A5E1-76C1F0F75D1F},2410.36494387544
92430,9243,CAMDEN PONDS,PERCOLATION POND,284746.249395916,144,118,{52E19229-6341-4E09-AF8E-AF62406F4A18},2216.59864751053
92650,9265,BUDD AVENUE PONDS,PERCOLATION POND,90670.2833656189,145,119,{1A7E45F1-09EA-4C03-B5B6-17139684205C},1175.00414674551
92650,9265,BUDD AVENUE PONDS,PERCOLATION POND,113089.089522921,146,120,{BC7896E8-CF91-4BBB-88A5-FDE9A720186D},1292.73710178602
92650,9265,BUDD AVENUE PONDS,PERCOLATION POND,111223.747871811,147,121,{59C70CCF-A10D-42C1-8F5F-0F7AA3BD5338},1278.37672863761
92740,9274,SAN PEDRO PONDS,PERCOLATION POND,84069.6814243214,148,122,{766945DA-3C5E-429E-8952-B920C2000434},1441.6980741957
92400,9240,ALAMITOS PONDS,PERCOLATION POND,419542.342280079,155,129,{32797D69-9DF6-4100-A0DC-2E20842668C2},3298.61886224154
92400,9240,ALAMITOS PONDS,PERCOLATION POND,88005.3375293955,156,130,{17B72862-F686-4171-B89E-A82914D4D76C},1356.44104096786
92610,9261,PENITENCIA (GROSS) PONDS,PERCOLATION POND,192777.890079861,157,131,{BEFEFD94-2EE6-45EE-8FBB-75B0B1B68765},1821.98001408964
92610,9261,PENITENCIA (GROSS) PONDS,PERCOLATION POND,159957.028724118,158,132,{87975E84-7ADF-4CE4-BA0F-ECDC6D4F86F6},1669.26805926924
92591,9259,PAGE DITCH DESILTING BASIN,PERCOLATION POND,73545.1287803074,159,133,{0109CED3-858B-4FB0-9685-35246289AC9A},1283.75131466471
92610,9261,PENITENCIA (GROSS) PONDS,PERCOLATION POND,18920.8513890501,160,134,{9616D00C-C526-4179-BB3F-21FD8F25716B},648.201566100628
92613,9261,PIEDMONT PONDS,PERCOLATION POND,2645.15695401884,161,135,{26FE66BD-0246-4FF0-87E7-086DC3DC791E},246.448240765221
92613,9261,PIEDMONT PONDS,PERCOLATION POND,5834.18972675894,162,136,{69DB7FBC-CE9D-4930-8127-419963789349},591.098383859571
